run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__StdDE__seed12,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2872.945778693849,2572.510832560987,1334.1504018696846,1.250165,1.0289567917581428,0.22120820824185716,17.69432100897539,1800.3221697000554,26.004653562334134,0.008506485491591447,13.480650399927981,1,0,0,2687,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.250165 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed13,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3100.6554128802327,2609.6494392469303,1358.1303903621567,1.212576,1.0663461887178656,0.14622981128213453,12.059434730865078,1800.029754600022,26.000429788666985,0.005624130542098688,8.863249599933624,1,0,0,3099,5,real_solver:StdDE | archive=5 | walltime_hit=1 | init_best=1.212576 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed14,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3042.924394407861,2743.0477371644156,1423.5914265612575,1.228627,1.0950867961767046,0.13354020382329534,10.869059838608084,1800.2856384000042,26.00412588800006,0.00513534676760349,13.861314099980518,1,0,0,2565,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.228627 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed15,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3180.00261285261,2618.7152535773225,1366.5200766951941,1.178684,1.0788532911313757,0.09983070886862433,8.469675406523233,1801.0347600000678,26.014946533334314,0.0038374366343865442,2.2756807000841945,1,0,0,2909,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.178684 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed16,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2999.926101199509,2526.539905047043,1319.4961140755743,1.123465,1.0333651085289004,0.09009989147109954,8.01982184323495,1800.9392064999556,26.01356631611047,0.0034635732131545432,13.53152219997719,1,0,0,3105,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.123465 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed17,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2743.7285065067354,2382.114956205128,1243.5797758059102,1.122831,0.9644769054817542,0.15835409451824567,14.103110309409491,1800.023143999977,26.00033430222189,0.006090463787025743,4.345291699981317,1,0,0,3644,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.122831 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed18,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2868.9004696188044,2347.083524461973,1222.3645656825645,1.112038,0.968462477752913,0.14357552224708703,12.911026623828235,1800.9064363000216,26.01309296877809,0.005519356057328972,12.800485900021158,1,0,0,2568,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.112038 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed19,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2918.797423419587,2471.3957323115196,1288.5432302106274,1.204465,1.0084582551668142,0.1960067448331857,16.27334499825115,1800.8978541999822,26.012969005110854,0.007534962456406864,13.28219599998556,1,0,0,2930,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.204465 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed20,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2906.959122342802,2253.972742875697,1175.8891513261847,1.260809,0.9479411740187585,0.3128678259812415,24.814847132376237,1800.1014842999866,26.00146588433314,0.012032699516751328,12.966363699990325,1,0,0,6828,4,real_solver:StdDE | archive=4 | walltime_hit=1 | init_best=1.260809 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3096.026161326585,2463.3001373153093,835.1192636471616,1.211881,1.0248643403898312,0.18701665961016878,15.431932641090073,1800.0793601000914,26.001146312556877,0.007192631331021424,1.769432400004007,1,0,0,10842,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.211881 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed02,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2939.4039728549706,2471.6964747515053,838.1415832681867,1.097585,1.0093053265733523,0.08827967342664778,8.04308308027604,1800.008043400012,26.000116182444618,0.003395356882530185,2.0530153999570757,1,0,0,10584,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.097585 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed03,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2774.7789608767935,2456.5797931372035,835.2525926874025,1.213824,0.9872517114794671,0.2265722885205329,18.665991817638545,1800.0261056999443,26.00037708233253,0.008714192405866707,2.134813299984671,1,0,0,11698,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.213824 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed04,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2900.442411086884,2361.5079129341166,794.0628933986111,1.214229,0.9721603344838399,0.24206866551616013,19.935997700282247,1800.0037931000115,26.00005478922239,0.009310313669665922,1.7941932999528944,1,0,0,12739,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.214229 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed05,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3121.6206306318345,2486.6874175089274,845.6532553591657,1.237116,1.035200803469185,0.20191519653081502,16.321444111208248,1800.0245458000572,26.00035455044527,0.0077658631977138605,1.6031196999829262,1,0,0,12928,5,real_solver:StdDE | archive=5 | walltime_hit=1 | init_best=1.237116 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed06,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2948.778752175579,2453.0019697209023,828.4582772405801,1.158764,1.0039508898112077,0.15481311018879218,13.360193291195808,1800.0621137000853,26.000897197890122,0.005954144928558646,1.686162200057879,1,0,0,12790,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.158764 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed07,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2898.840390619741,2435.9402294509664,823.6974365057608,1.148919,0.9940018633973072,0.1549171366026928,13.48373006301513,1800.0075194999808,26.000108614999725,0.005958326516886915,1.5534472999861464,1,0,0,11264,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.148919 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed08,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2938.788322974945,2394.701685895279,808.2688129846863,1.140379,0.9867643009775816,0.15361469902241842,13.470495249598459,1800.0251128999516,26.00036274188819,0.005908175226145429,2.5466405999613926,1,0,0,11507,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.140379 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed09,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2505.1867660978323,1950.2585159470375,662.281032865527,1.095306,0.8180241797696534,0.27728182023034653,25.3154662012576,1800.151176599902,26.002183661998586,0.010663789773763718,1.800224700011313,1,0,0,12495,33,real_solver:StdDE | archive=33 | walltime_hit=1 | init_best=1.095306 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed10,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2990.7384835637877,2479.7049268113506,842.0448948233238,1.18593,1.0178326002138547,0.16809739978614524,14.17431043873966,1800.1423598000547,26.00205630822301,0.0064647733161390525,1.5874115999322385,1,0,0,12981,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.185930 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
