run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__A2_NoJDE__seed12,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2615.9222629181927,2158.452333208965,1123.8638137787846,1.010995,0.8879971970976587,0.12299780290234141,12.166014955795172,1800.0277916999767,26.00040143566633,0.004730611687157178,13.795706199947745,1,0,0,3660,2,real_solver:A2_NoJDE | archive=2 | walltime_hit=1 | init_best=1.010995 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed13,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2608.080936551782,2200.5532974863763,1139.7794158324589,0.999727,0.8970164724516166,0.10271052754838339,10.273857517940735,1800.2518211000133,26.00363741588908,0.003949852318953804,13.569959599990398,1,0,0,3032,1,real_solver:A2_NoJDE | archive=1 | walltime_hit=1 | init_best=0.999727 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed14,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2513.609159583148,2072.8339750408736,1080.7239805746922,1.006409,0.8533153768730085,0.1530936231269916,15.211869441448911,1800.1466593999648,26.00211841355505,0.005887736556386999,11.795803399989381,1,0,0,3163,2,real_solver:A2_NoJDE | archive=2 | walltime_hit=1 | init_best=1.006409 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed15,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2598.914010898476,2098.2812089493045,1095.6128065513187,0.943476,0.8704423299253975,0.07303367007460249,7.740914456181449,1800.8882572000148,26.01283038177799,0.0028076018258191018,13.51001880003605,1,0,0,2631,9,real_solver:A2_NoJDE | archive=9 | walltime_hit=1 | init_best=0.943476 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed16,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2647.520717254345,2239.073055543445,1169.8288527837667,1.028049,0.9146439272074698,0.1134050727925302,11.031096065706032,1800.5936027999269,26.00857426266561,0.004360295633556476,14.734696900006384,1,0,0,2636,10,real_solver:A2_NoJDE | archive=10 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed17,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2411.5906312466605,2115.1303890984036,1106.2242242056948,1.028049,0.8540910803464348,0.17395791965356522,16.921170066170507,1800.5350062000798,26.007727867334488,0.00668870116378198,14.581029299995862,1,0,0,3197,4,real_solver:A2_NoJDE | archive=4 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed18,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2626.674274539948,2183.364888784916,1135.92405641051,1.028049,0.8957847019641964,0.13226429803580364,12.865563609886653,1800.658656799933,26.009513931554586,0.005085227597250151,13.19136009993963,1,0,0,3119,2,real_solver:A2_NoJDE | archive=2 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed19,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2633.323487780568,2125.362447032848,1109.5578798769666,1.02482,0.8817247619504224,0.1430952380495777,13.962963061764766,1800.4266851999564,26.006163230666036,0.005502358682454248,14.254149700049311,1,0,0,2606,5,real_solver:A2_NoJDE | archive=5 | walltime_hit=1 | init_best=1.024820 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed20,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2645.596006397878,2161.040199779708,1125.5910023147571,1.028049,0.8921965098432807,0.1358524901567193,13.21459289943566,1800.070474899956,26.00101797077714,0.005224891206544511,14.443891200004146,1,0,0,6476,1,real_solver:A2_NoJDE | archive=1 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__A2_NoJDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A2_NoJDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2944.2453149588146,2209.311292403731,749.3155678774905,1.027231,0.9384669215552611,0.08876407844473888,8.64110199602026,1800.1950346000958,26.00281716644583,0.003413633141230578,2.1375032999785617,1,0,0,10355,15,real_solver:A2_NoJDE | archive=15 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
