run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__A1_NoSeed__seed17,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2463.250164926543,2134.154737260076,1114.538779471823,1.122831,0.8647742114372173,0.2580567885627826,22.982691835439404,1800.0928660000209,26.00134139777808,0.009924749058709508,12.881068900111131,1,0,0,2443,40,real_solver:A1_NoSeed | archive=40 | walltime_hit=1 | init_best=1.122831 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed18,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2511.220342740563,1962.6700610481246,1024.124756394757,1.112038,0.8231908486922187,0.2888471513077814,25.974575626712518,1800.6846183999442,26.009888932443637,0.011105281997090178,13.449849700089544,1,0,0,2017,3,real_solver:A1_NoSeed | archive=3 | walltime_hit=1 | init_best=1.112038 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed19,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2513.5804542821334,2014.7020564002232,1050.0579682778462,1.204465,0.8373512977135315,0.36711370228646845,30.47939975727551,1800.0713603000622,26.001030759889787,0.014119198030133194,9.94099319993984,1,0,0,2210,128,real_solver:A1_NoSeed | archive=128 | walltime_hit=1 | init_best=1.204465 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed20,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2372.659366097512,2004.2139278481654,1047.1759094505712,1.260809,0.8190442329709474,0.44176476702905265,35.038199047520486,1800.0254046999617,26.000366956777224,0.016990712775840373,7.8105351000558585,1,0,0,5215,9,real_solver:A1_NoSeed | archive=9 | walltime_hit=1 | init_best=1.260809 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__A1_NoSeed__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A1_NoSeed,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2362.7307569156833,1988.1704525353334,679.5583288332069,1.211881,0.8138195771881453,0.39806142281185464,32.8465767523259,1800.0251553000417,26.000363354333935,0.015309840765956172,2.159275499987416,1,0,0,8175,128,real_solver:A1_NoSeed | archive=128 | walltime_hit=1 | init_best=1.211881 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__A1_NoSeed__seed02,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A1_NoSeed,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2339.0875234483337,1996.0356754635377,680.9584529123774,1.097585,0.8127507666831496,0.2848342333168504,25.95099544152393,1800.217105800053,26.003135972667433,0.01095384162957295,1.930777799920179,1,0,0,8004,128,real_solver:A1_NoSeed | archive=128 | walltime_hit=1 | init_best=1.097585 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__A1_NoSeed__seed03,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A1_NoSeed,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2374.3499295056604,1970.6525305536643,672.0284908693673,1.213824,0.8097432127817271,0.4040807872182729,33.28989929497793,1800.0262494999915,26.00037915944432,0.015541342098909179,2.207192700006999,1,0,0,8715,6,real_solver:A1_NoSeed | archive=6 | walltime_hit=1 | init_best=1.213824 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__A1_NoSeed__seed04,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A1_NoSeed,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2327.7963967258042,1915.494954910041,650.7652769860644,1.214229,0.7883753784977475,0.4258536215022525,35.07193630709302,1800.1176732999738,26.001699725444066,0.016377914751685704,1.6721211000112817,1,0,0,9604,3,real_solver:A1_NoSeed | archive=3 | walltime_hit=1 | init_best=1.214229 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__A1_NoSeed__seed05,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A1_NoSeed,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2340.6364073169384,1901.858962634121,646.4156168281178,1.237116,0.7862403919501753,0.45087560804982485,36.4457017813871,1800.0065051999409,26.000093963999145,0.017341306868895425,1.53810170001816,1,0,0,9926,37,real_solver:A1_NoSeed | archive=37 | walltime_hit=1 | init_best=1.237116 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__A1_NoSeed__seed06,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A1_NoSeed,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2324.290201289878,1916.1791858694776,648.5209298624958,1.158764,0.787171300947922,0.3715926990520779,32.06802239731973,1800.0972320999717,26.00140446366626,0.014291254903993078,1.5354245000053197,1,0,0,9952,128,real_solver:A1_NoSeed | archive=128 | walltime_hit=1 | init_best=1.158764 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
