run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__ALNS_MS__seed12,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2375.3240558586035,2074.7161498900728,1080.981236444695,0.8378221753628107,0.8378221753628107,0.0,0.0,1801.0345038999803,26.014942834110826,0.0,2.4297035000054166,1,0,0,170,2,real_solver:ALNS_MS | archive=2 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed13,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2554.7498625424655,2087.763827336794,1090.5257375315496,0.8626232681437983,0.8626232681437983,0.0,0.0,1800.1697656000033,26.002452169777825,0.0,2.374967599986121,1,0,0,98,5,real_solver:ALNS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed14,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2712.4365510288335,2063.661547101159,1076.9675918413495,0.8738226639268657,0.8738226639268657,0.0,0.0,1801.8297261000844,26.026429377001218,0.0,0.2797953999834135,1,0,0,54,12,real_solver:ALNS_MS | archive=12 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed15,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2527.938909185552,2015.9598889595711,1054.3156839295616,0.8402773936945332,0.8402773936945332,0.0,0.0,1801.1510910999496,26.016626871443716,0.0,1.113866399973631,1,0,0,119,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed16,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2269.3950122547385,2091.2482925298114,1091.2279749258769,0.8306427323033775,0.8306427323033775,0.0,0.0,1801.06379689998,26.01536595522193,0.0,2.176351699978113,1,0,0,229,5,real_solver:ALNS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed17,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2468.2962247400555,1919.6802878062572,1001.3305146853677,0.8064472687665963,0.8064472687665963,0.0,0.0,1800.2640216000145,26.003813645333544,0.0,2.1868807999417186,1,0,0,57,2,real_solver:ALNS_MS | archive=2 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed18,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2601.669553899292,2143.697346314483,1120.1795535874207,0.8833859488816858,0.8833859488816858,0.0,0.0,1801.1227740999311,26.016217848110117,0.0,0.31592870003078133,1,0,0,72,2,real_solver:ALNS_MS | archive=2 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed19,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2585.0888926852126,2166.630976270454,1128.9147410298453,0.8869080999432426,0.8869080999432426,0.0,0.0,1801.8171817000257,26.026248180111484,0.0,1.9336059000343084,1,0,0,64,8,real_solver:ALNS_MS | archive=8 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed20,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2363.750694564096,2097.672724208379,1097.136462333875,0.8438573836747659,0.8438573836747659,0.0,0.0,1800.1478680999717,26.002135872555147,0.0,2.1580574999097735,1,0,0,251,3,real_solver:ALNS_MS | archive=3 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ALNS_MS__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ALNS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2401.151599571046,2059.9831324444367,695.9562916325289,0.8345925049345465,0.8345925049345465,0.0,0.0,1800.1931973000756,26.002790627667757,0.0,0.4038586999522522,1,0,0,223,24,real_solver:ALNS_MS | archive=24 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ALNS_MS__seed02,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ALNS_MS,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2522.382344547929,1981.4155747867444,672.0970530168943,0.8281763073671377,0.8281763073671377,0.0,0.0,1800.123645100044,26.001785984778415,0.0,0.27722760010510683,1,0,0,287,5,real_solver:ALNS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ALNS_MS__seed03,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ALNS_MS,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2367.3974583228646,2002.050467956816,680.4663903844081,0.8166155181912997,0.8166155181912997,0.0,0.0,1800.1354013999226,26.001955797998882,0.0,0.24166639999020845,1,0,0,175,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ALNS_MS__seed04,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ALNS_MS,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2351.7629350298544,1986.6668890483693,677.0073004416844,0.8113400890563188,0.8113400890563188,0.0,0.0,1800.1120924999705,26.001619113888463,0.0,0.3037144000409171,1,0,0,503,47,real_solver:ALNS_MS | archive=47 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ALNS_MS__seed05,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ALNS_MS,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2375.6989083340436,1970.3042561614275,670.2296514598717,0.8091311983319835,0.8091311983319835,0.0,0.0,1800.2964429999702,26.004281954444014,0.0,0.24760369991417974,1,0,0,431,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ALNS_MS__seed06,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ALNS_MS,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2528.448860951147,1999.005224210453,678.7803204180688,0.8339472709957324,0.8339472709957324,0.0,0.0,1800.1489272000035,26.002151170666718,0.0,0.278371800086461,1,0,0,428,11,real_solver:ALNS_MS | archive=11 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ALNS_MS__seed07,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ALNS_MS,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2360.5388380067384,2007.0499449749232,688.2265779125634,0.8196154194118664,0.8196154194118664,0.0,0.0,1800.2020615999354,26.002918667554624,0.0,0.27347829996142536,1,0,0,276,5,real_solver:ALNS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
